0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
2024.0,6.0,15.0,48.02,59.540000000000006,66.92,0.0,0.0,46.94,56.120000000000005,64.94,0.0,0.0,53.06,55.76,57.92,0.0,69.0,51.98,54.68,55.94,0.0,0.0,51.98,55.94,62.959999999999994,0.0,0.0,51.08,57.74,68.0,0.0,0.0,57.02,68.72,84.02,0.0,0.0,60.08,71.96,84.02,0.0,0.0,51.98,70.88,82.04,0.0,0.0,48.92,61.16,68.0,0.0,0.0,53.96,62.78,73.04,0.0,10.0,51.08,54.14,60.08,0.0,91.0,57.92,65.3,80.96,0.0,43.0,53.06,66.38,73.04,0.0,0.0,48.92,57.74,60.98,0.0,3.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,48.02,60.26,69.98,55.94,61.7,69.98,60.98,71.78,84.91999999999999,66.02,77.0,89.96000000000001
2024.0,6.0,16.0,46.94,56.120000000000005,64.94,0.0,0.0,53.06,55.76,57.92,0.0,69.0,51.98,54.68,55.94,0.0,0.0,51.98,55.94,62.959999999999994,0.0,0.0,51.08,57.74,68.0,0.0,0.0,57.02,68.72,84.02,0.0,0.0,60.08,71.96,84.02,0.0,0.0,51.98,70.88,82.04,0.0,0.0,48.92,61.16,68.0,0.0,0.0,53.96,62.78,73.04,0.0,10.0,51.08,54.14,60.08,0.0,91.0,57.92,65.3,80.96,0.0,43.0,53.06,66.38,73.04,0.0,0.0,48.92,57.74,60.98,0.0,3.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,55.94,61.7,69.98,60.98,71.78,84.91999999999999,66.02,77.0,89.96000000000001,71.06,80.96,93.92
2024.0,6.0,17.0,53.06,55.76,57.92,0.0,69.0,51.98,54.68,55.94,0.0,0.0,51.98,55.94,62.959999999999994,0.0,0.0,51.08,57.74,68.0,0.0,0.0,57.02,68.72,84.02,0.0,0.0,60.08,71.96,84.02,0.0,0.0,51.98,70.88,82.04,0.0,0.0,48.92,61.16,68.0,0.0,0.0,53.96,62.78,73.04,0.0,10.0,51.08,54.14,60.08,0.0,91.0,57.92,65.3,80.96,0.0,43.0,53.06,66.38,73.04,0.0,0.0,48.92,57.74,60.98,0.0,3.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,60.98,71.78,84.91999999999999,66.02,77.0,89.96000000000001,71.06,80.96,93.92,64.94,71.96,73.94
2024.0,6.0,18.0,51.98,54.68,55.94,0.0,0.0,51.98,55.94,62.959999999999994,0.0,0.0,51.08,57.74,68.0,0.0,0.0,57.02,68.72,84.02,0.0,0.0,60.08,71.96,84.02,0.0,0.0,51.98,70.88,82.04,0.0,0.0,48.92,61.16,68.0,0.0,0.0,53.96,62.78,73.04,0.0,10.0,51.08,54.14,60.08,0.0,91.0,57.92,65.3,80.96,0.0,43.0,53.06,66.38,73.04,0.0,0.0,48.92,57.74,60.98,0.0,3.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,66.02,77.0,89.96000000000001,71.06,80.96,93.92,64.94,71.96,73.94,59.0,63.68,66.02
2024.0,6.0,19.0,51.98,55.94,62.959999999999994,0.0,0.0,51.08,57.74,68.0,0.0,0.0,57.02,68.72,84.02,0.0,0.0,60.08,71.96,84.02,0.0,0.0,51.98,70.88,82.04,0.0,0.0,48.92,61.16,68.0,0.0,0.0,53.96,62.78,73.04,0.0,10.0,51.08,54.14,60.08,0.0,91.0,57.92,65.3,80.96,0.0,43.0,53.06,66.38,73.04,0.0,0.0,48.92,57.74,60.98,0.0,3.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,0.0,0.0,66.02,77.0,89.96000000000001,71.06,80.96,93.92,64.94,71.96,73.94,59.0,63.68,66.02,59.0,61.52,69.98
2024.0,6.0,20.0,51.08,57.74,68.0,0.0,0.0,57.02,68.72,84.02,0.0,0.0,60.08,71.96,84.02,0.0,0.0,51.98,70.88,82.04,0.0,0.0,48.92,61.16,68.0,0.0,0.0,53.96,62.78,73.04,0.0,10.0,51.08,54.14,60.08,0.0,91.0,57.92,65.3,80.96,0.0,43.0,53.06,66.38,73.04,0.0,0.0,48.92,57.74,60.98,0.0,3.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,0.0,0.0,66.02,77.0,89.96000000000001,0.0,0.0,71.06,80.96,93.92,64.94,71.96,73.94,59.0,63.68,66.02,59.0,61.52,69.98,64.04,72.32,78.98
2024.0,6.0,21.0,57.02,68.72,84.02,0.0,0.0,60.08,71.96,84.02,0.0,0.0,51.98,70.88,82.04,0.0,0.0,48.92,61.16,68.0,0.0,0.0,53.96,62.78,73.04,0.0,10.0,51.08,54.14,60.08,0.0,91.0,57.92,65.3,80.96,0.0,43.0,53.06,66.38,73.04,0.0,0.0,48.92,57.74,60.98,0.0,3.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,0.0,0.0,66.02,77.0,89.96000000000001,0.0,0.0,71.06,80.96,93.92,0.0,137.0,64.94,71.96,73.94,59.0,63.68,66.02,59.0,61.52,69.98,64.04,72.32,78.98,60.08,71.96,87.08000000000001
2024.0,6.0,22.0,60.08,71.96,84.02,0.0,0.0,51.98,70.88,82.04,0.0,0.0,48.92,61.16,68.0,0.0,0.0,53.96,62.78,73.04,0.0,10.0,51.08,54.14,60.08,0.0,91.0,57.92,65.3,80.96,0.0,43.0,53.06,66.38,73.04,0.0,0.0,48.92,57.74,60.98,0.0,3.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,0.0,0.0,66.02,77.0,89.96000000000001,0.0,0.0,71.06,80.96,93.92,0.0,137.0,64.94,71.96,73.94,0.0,0.0,59.0,63.68,66.02,59.0,61.52,69.98,64.04,72.32,78.98,60.08,71.96,87.08000000000001,68.0,77.54,87.08000000000001
2024.0,6.0,23.0,51.98,70.88,82.04,0.0,0.0,48.92,61.16,68.0,0.0,0.0,53.96,62.78,73.04,0.0,10.0,51.08,54.14,60.08,0.0,91.0,57.92,65.3,80.96,0.0,43.0,53.06,66.38,73.04,0.0,0.0,48.92,57.74,60.98,0.0,3.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,0.0,0.0,66.02,77.0,89.96000000000001,0.0,0.0,71.06,80.96,93.92,0.0,137.0,64.94,71.96,73.94,0.0,0.0,59.0,63.68,66.02,0.0,208.0,59.0,61.52,69.98,64.04,72.32,78.98,60.08,71.96,87.08000000000001,68.0,77.54,87.08000000000001,55.04,73.04,82.04
2024.0,6.0,24.0,48.92,61.16,68.0,0.0,0.0,53.96,62.78,73.04,0.0,10.0,51.08,54.14,60.08,0.0,91.0,57.92,65.3,80.96,0.0,43.0,53.06,66.38,73.04,0.0,0.0,48.92,57.74,60.98,0.0,3.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,0.0,0.0,66.02,77.0,89.96000000000001,0.0,0.0,71.06,80.96,93.92,0.0,137.0,64.94,71.96,73.94,0.0,0.0,59.0,63.68,66.02,0.0,208.0,59.0,61.52,69.98,0.0,79.0,64.04,72.32,78.98,60.08,71.96,87.08000000000001,68.0,77.54,87.08000000000001,55.04,73.04,82.04,50.0,63.32,73.94
2024.0,6.0,25.0,53.96,62.78,73.04,0.0,10.0,51.08,54.14,60.08,0.0,91.0,57.92,65.3,80.96,0.0,43.0,53.06,66.38,73.04,0.0,0.0,48.92,57.74,60.98,0.0,3.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,0.0,0.0,66.02,77.0,89.96000000000001,0.0,0.0,71.06,80.96,93.92,0.0,137.0,64.94,71.96,73.94,0.0,0.0,59.0,63.68,66.02,0.0,208.0,59.0,61.52,69.98,0.0,79.0,64.04,72.32,78.98,0.0,201.0,60.08,71.96,87.08000000000001,68.0,77.54,87.08000000000001,55.04,73.04,82.04,50.0,63.32,73.94,57.92,60.62,64.04
2024.0,6.0,26.0,51.08,54.14,60.08,0.0,91.0,57.92,65.3,80.96,0.0,43.0,53.06,66.38,73.04,0.0,0.0,48.92,57.74,60.98,0.0,3.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,0.0,0.0,66.02,77.0,89.96000000000001,0.0,0.0,71.06,80.96,93.92,0.0,137.0,64.94,71.96,73.94,0.0,0.0,59.0,63.68,66.02,0.0,208.0,59.0,61.52,69.98,0.0,79.0,64.04,72.32,78.98,0.0,201.0,60.08,71.96,87.08000000000001,0.0,0.0,68.0,77.54,87.08000000000001,55.04,73.04,82.04,50.0,63.32,73.94,57.92,60.62,64.04,62.959999999999994,70.52,84.91999999999999
2024.0,6.0,27.0,57.92,65.3,80.96,0.0,43.0,53.06,66.38,73.04,0.0,0.0,48.92,57.74,60.98,0.0,3.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,0.0,0.0,66.02,77.0,89.96000000000001,0.0,0.0,71.06,80.96,93.92,0.0,137.0,64.94,71.96,73.94,0.0,0.0,59.0,63.68,66.02,0.0,208.0,59.0,61.52,69.98,0.0,79.0,64.04,72.32,78.98,0.0,201.0,60.08,71.96,87.08000000000001,0.0,0.0,68.0,77.54,87.08000000000001,0.0,0.0,55.04,73.04,82.04,50.0,63.32,73.94,57.92,60.62,64.04,62.959999999999994,70.52,84.91999999999999,64.04,72.68,80.96
2024.0,6.0,28.0,53.06,66.38,73.04,0.0,0.0,48.92,57.74,60.98,0.0,3.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,0.0,0.0,66.02,77.0,89.96000000000001,0.0,0.0,71.06,80.96,93.92,0.0,137.0,64.94,71.96,73.94,0.0,0.0,59.0,63.68,66.02,0.0,208.0,59.0,61.52,69.98,0.0,79.0,64.04,72.32,78.98,0.0,201.0,60.08,71.96,87.08000000000001,0.0,0.0,68.0,77.54,87.08000000000001,0.0,0.0,55.04,73.04,82.04,0.0,0.0,50.0,63.32,73.94,57.92,60.62,64.04,62.959999999999994,70.52,84.91999999999999,64.04,72.68,80.96,57.92,71.78,82.04
2024.0,6.0,29.0,48.92,57.74,60.98,0.0,3.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,0.0,0.0,66.02,77.0,89.96000000000001,0.0,0.0,71.06,80.96,93.92,0.0,137.0,64.94,71.96,73.94,0.0,0.0,59.0,63.68,66.02,0.0,208.0,59.0,61.52,69.98,0.0,79.0,64.04,72.32,78.98,0.0,201.0,60.08,71.96,87.08000000000001,0.0,0.0,68.0,77.54,87.08000000000001,0.0,0.0,55.04,73.04,82.04,0.0,0.0,50.0,63.32,73.94,0.0,0.0,57.92,60.62,64.04,62.959999999999994,70.52,84.91999999999999,64.04,72.68,80.96,57.92,71.78,82.04,57.92,70.52,82.04
2024.0,6.0,30.0,46.94,61.16,75.02,0.0,0.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,0.0,0.0,66.02,77.0,89.96000000000001,0.0,0.0,71.06,80.96,93.92,0.0,137.0,64.94,71.96,73.94,0.0,0.0,59.0,63.68,66.02,0.0,208.0,59.0,61.52,69.98,0.0,79.0,64.04,72.32,78.98,0.0,201.0,60.08,71.96,87.08000000000001,0.0,0.0,68.0,77.54,87.08000000000001,0.0,0.0,55.04,73.04,82.04,0.0,0.0,50.0,63.32,73.94,0.0,0.0,57.92,60.62,64.04,0.0,81.0,62.959999999999994,70.52,84.91999999999999,64.04,72.68,80.96,57.92,71.78,82.04,57.92,70.52,82.04,60.98,67.82,78.08
2024.0,7.0,1.0,46.94,62.959999999999994,78.08,0.0,0.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,0.0,0.0,66.02,77.0,89.96000000000001,0.0,0.0,71.06,80.96,93.92,0.0,137.0,64.94,71.96,73.94,0.0,0.0,59.0,63.68,66.02,0.0,208.0,59.0,61.52,69.98,0.0,79.0,64.04,72.32,78.98,0.0,201.0,60.08,71.96,87.08000000000001,0.0,0.0,68.0,77.54,87.08000000000001,0.0,0.0,55.04,73.04,82.04,0.0,0.0,50.0,63.32,73.94,0.0,0.0,57.92,60.62,64.04,0.0,81.0,62.959999999999994,70.52,84.91999999999999,0.0,0.0,64.04,72.68,80.96,57.92,71.78,82.04,57.92,70.52,82.04,60.98,67.82,78.08,62.959999999999994,68.54,80.06
2024.0,7.0,2.0,44.96,61.16,78.08,0.0,0.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,0.0,0.0,66.02,77.0,89.96000000000001,0.0,0.0,71.06,80.96,93.92,0.0,137.0,64.94,71.96,73.94,0.0,0.0,59.0,63.68,66.02,0.0,208.0,59.0,61.52,69.98,0.0,79.0,64.04,72.32,78.98,0.0,201.0,60.08,71.96,87.08000000000001,0.0,0.0,68.0,77.54,87.08000000000001,0.0,0.0,55.04,73.04,82.04,0.0,0.0,50.0,63.32,73.94,0.0,0.0,57.92,60.62,64.04,0.0,81.0,62.959999999999994,70.52,84.91999999999999,0.0,0.0,64.04,72.68,80.96,0.0,0.0,57.92,71.78,82.04,57.92,70.52,82.04,60.98,67.82,78.08,62.959999999999994,68.54,80.06,68.0,72.68,80.06
2024.0,7.0,3.0,55.04,65.12,69.08,0.0,0.0,51.08,60.62,69.08,0.0,0.0,55.94,66.2,80.06,0.0,3.0,57.02,64.04,71.96,0.0,18.0,55.94,59.0,62.959999999999994,0.0,38.0,55.94,62.78,73.04,0.0,8.0,53.06,61.16,64.94,0.0,99.0,51.98,61.88,73.94,0.0,0.0,48.92,61.88,71.06,0.0,0.0,53.96,62.78,71.06,0.0,0.0,57.02,66.56,75.02,0.0,0.0,60.08,69.62,75.92,0.0,0.0,53.96,66.92,71.96,0.0,36.0,48.02,60.26,69.98,0.0,0.0,55.94,61.7,69.98,0.0,0.0,60.98,71.78,84.91999999999999,0.0,0.0,66.02,77.0,89.96000000000001,0.0,0.0,71.06,80.96,93.92,0.0,137.0,64.94,71.96,73.94,0.0,0.0,59.0,63.68,66.02,0.0,208.0,59.0,61.52,69.98,0.0,79.0,64.04,72.32,78.98,0.0,201.0,60.08,71.96,87.08000000000001,0.0,0.0,68.0,77.54,87.08000000000001,0.0,0.0,55.04,73.04,82.04,0.0,0.0,50.0,63.32,73.94,0.0,0.0,57.92,60.62,64.04,0.0,81.0,62.959999999999994,70.52,84.91999999999999,0.0,0.0,64.04,72.68,80.96,0.0,0.0,57.92,71.78,82.04,0.0,0.0,57.92,70.52,82.04,60.98,67.82,78.08,62.959999999999994,68.54,80.06,68.0,72.68,80.06,66.02,76.28,86.0
