0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
2023.0,7.0,29.0,59.0,69.25999999999999,82.04,0.0,18.0,64.94,75.56,87.08000000000001,0.0,0.0,69.08,77.18,82.94,0.0,178.0,69.08,73.22,78.98,0.0,302.0,69.98,74.84,84.02,0.0,8.0,68.0,77.72,87.98,0.0,0.0,69.98,80.06,89.96000000000001,0.0,0.0,71.96,78.44,84.02,0.0,0.0,64.04,74.12,82.04,0.0,0.0,64.04,71.42,75.02,0.0,74.0,62.959999999999994,69.25999999999999,80.96,0.0,0.0,62.959999999999994,74.12,84.02,0.0,0.0,64.04,75.74000000000001,87.98,0.0,0.0,64.04,71.78,75.02,0.0,53.0,60.98,69.98,77.0,0.0,20.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,64.04,72.32,80.96,59.0,69.44,77.0,62.959999999999994,70.88,78.98,64.04,72.32,82.94
2023.0,7.0,30.0,64.94,75.56,87.08000000000001,0.0,0.0,69.08,77.18,82.94,0.0,178.0,69.08,73.22,78.98,0.0,302.0,69.98,74.84,84.02,0.0,8.0,68.0,77.72,87.98,0.0,0.0,69.98,80.06,89.96000000000001,0.0,0.0,71.96,78.44,84.02,0.0,0.0,64.04,74.12,82.04,0.0,0.0,64.04,71.42,75.02,0.0,74.0,62.959999999999994,69.25999999999999,80.96,0.0,0.0,62.959999999999994,74.12,84.02,0.0,0.0,64.04,75.74000000000001,87.98,0.0,0.0,64.04,71.78,75.02,0.0,53.0,60.98,69.98,77.0,0.0,20.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,59.0,69.44,77.0,62.959999999999994,70.88,78.98,64.04,72.32,82.94,64.04,74.48,86.0
2023.0,7.0,31.0,69.08,77.18,82.94,0.0,178.0,69.08,73.22,78.98,0.0,302.0,69.98,74.84,84.02,0.0,8.0,68.0,77.72,87.98,0.0,0.0,69.98,80.06,89.96000000000001,0.0,0.0,71.96,78.44,84.02,0.0,0.0,64.04,74.12,82.04,0.0,0.0,64.04,71.42,75.02,0.0,74.0,62.959999999999994,69.25999999999999,80.96,0.0,0.0,62.959999999999994,74.12,84.02,0.0,0.0,64.04,75.74000000000001,87.98,0.0,0.0,64.04,71.78,75.02,0.0,53.0,60.98,69.98,77.0,0.0,20.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,62.959999999999994,70.88,78.98,64.04,72.32,82.94,64.04,74.48,86.0,66.92,76.64,84.91999999999999
2023.0,8.0,1.0,69.08,73.22,78.98,0.0,302.0,69.98,74.84,84.02,0.0,8.0,68.0,77.72,87.98,0.0,0.0,69.98,80.06,89.96000000000001,0.0,0.0,71.96,78.44,84.02,0.0,0.0,64.04,74.12,82.04,0.0,0.0,64.04,71.42,75.02,0.0,74.0,62.959999999999994,69.25999999999999,80.96,0.0,0.0,62.959999999999994,74.12,84.02,0.0,0.0,64.04,75.74000000000001,87.98,0.0,0.0,64.04,71.78,75.02,0.0,53.0,60.98,69.98,77.0,0.0,20.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,0.0,0.0,62.959999999999994,70.88,78.98,64.04,72.32,82.94,64.04,74.48,86.0,66.92,76.64,84.91999999999999,64.04,72.68,82.04
2023.0,8.0,2.0,69.98,74.84,84.02,0.0,8.0,68.0,77.72,87.98,0.0,0.0,69.98,80.06,89.96000000000001,0.0,0.0,71.96,78.44,84.02,0.0,0.0,64.04,74.12,82.04,0.0,0.0,64.04,71.42,75.02,0.0,74.0,62.959999999999994,69.25999999999999,80.96,0.0,0.0,62.959999999999994,74.12,84.02,0.0,0.0,64.04,75.74000000000001,87.98,0.0,0.0,64.04,71.78,75.02,0.0,53.0,60.98,69.98,77.0,0.0,20.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,0.0,0.0,62.959999999999994,70.88,78.98,0.0,0.0,64.04,72.32,82.94,64.04,74.48,86.0,66.92,76.64,84.91999999999999,64.04,72.68,82.04,68.0,71.78,78.98
2023.0,8.0,3.0,68.0,77.72,87.98,0.0,0.0,69.98,80.06,89.96000000000001,0.0,0.0,71.96,78.44,84.02,0.0,0.0,64.04,74.12,82.04,0.0,0.0,64.04,71.42,75.02,0.0,74.0,62.959999999999994,69.25999999999999,80.96,0.0,0.0,62.959999999999994,74.12,84.02,0.0,0.0,64.04,75.74000000000001,87.98,0.0,0.0,64.04,71.78,75.02,0.0,53.0,60.98,69.98,77.0,0.0,20.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,0.0,0.0,62.959999999999994,70.88,78.98,0.0,0.0,64.04,72.32,82.94,0.0,0.0,64.04,74.48,86.0,66.92,76.64,84.91999999999999,64.04,72.68,82.04,68.0,71.78,78.98,62.959999999999994,68.18,75.02
2023.0,8.0,4.0,69.98,80.06,89.96000000000001,0.0,0.0,71.96,78.44,84.02,0.0,0.0,64.04,74.12,82.04,0.0,0.0,64.04,71.42,75.02,0.0,74.0,62.959999999999994,69.25999999999999,80.96,0.0,0.0,62.959999999999994,74.12,84.02,0.0,0.0,64.04,75.74000000000001,87.98,0.0,0.0,64.04,71.78,75.02,0.0,53.0,60.98,69.98,77.0,0.0,20.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,0.0,0.0,62.959999999999994,70.88,78.98,0.0,0.0,64.04,72.32,82.94,0.0,0.0,64.04,74.48,86.0,0.0,0.0,66.92,76.64,84.91999999999999,64.04,72.68,82.04,68.0,71.78,78.98,62.959999999999994,68.18,75.02,62.059999999999995,70.88,82.94
2023.0,8.0,5.0,71.96,78.44,84.02,0.0,0.0,64.04,74.12,82.04,0.0,0.0,64.04,71.42,75.02,0.0,74.0,62.959999999999994,69.25999999999999,80.96,0.0,0.0,62.959999999999994,74.12,84.02,0.0,0.0,64.04,75.74000000000001,87.98,0.0,0.0,64.04,71.78,75.02,0.0,53.0,60.98,69.98,77.0,0.0,20.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,0.0,0.0,62.959999999999994,70.88,78.98,0.0,0.0,64.04,72.32,82.94,0.0,0.0,64.04,74.48,86.0,0.0,0.0,66.92,76.64,84.91999999999999,0.0,3.0,64.04,72.68,82.04,68.0,71.78,78.98,62.959999999999994,68.18,75.02,62.059999999999995,70.88,82.94,64.04,73.75999999999999,82.04
2023.0,8.0,6.0,64.04,74.12,82.04,0.0,0.0,64.04,71.42,75.02,0.0,74.0,62.959999999999994,69.25999999999999,80.96,0.0,0.0,62.959999999999994,74.12,84.02,0.0,0.0,64.04,75.74000000000001,87.98,0.0,0.0,64.04,71.78,75.02,0.0,53.0,60.98,69.98,77.0,0.0,20.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,0.0,0.0,62.959999999999994,70.88,78.98,0.0,0.0,64.04,72.32,82.94,0.0,0.0,64.04,74.48,86.0,0.0,0.0,66.92,76.64,84.91999999999999,0.0,3.0,64.04,72.68,82.04,0.0,0.0,68.0,71.78,78.98,62.959999999999994,68.18,75.02,62.059999999999995,70.88,82.94,64.04,73.75999999999999,82.04,64.94,73.4,80.96
2023.0,8.0,7.0,64.04,71.42,75.02,0.0,74.0,62.959999999999994,69.25999999999999,80.96,0.0,0.0,62.959999999999994,74.12,84.02,0.0,0.0,64.04,75.74000000000001,87.98,0.0,0.0,64.04,71.78,75.02,0.0,53.0,60.98,69.98,77.0,0.0,20.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,0.0,0.0,62.959999999999994,70.88,78.98,0.0,0.0,64.04,72.32,82.94,0.0,0.0,64.04,74.48,86.0,0.0,0.0,66.92,76.64,84.91999999999999,0.0,3.0,64.04,72.68,82.04,0.0,0.0,68.0,71.78,78.98,0.0,94.0,62.959999999999994,68.18,75.02,62.059999999999995,70.88,82.94,64.04,73.75999999999999,82.04,64.94,73.4,80.96,59.0,69.44,78.08
2023.0,8.0,8.0,62.959999999999994,69.25999999999999,80.96,0.0,0.0,62.959999999999994,74.12,84.02,0.0,0.0,64.04,75.74000000000001,87.98,0.0,0.0,64.04,71.78,75.02,0.0,53.0,60.98,69.98,77.0,0.0,20.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,0.0,0.0,62.959999999999994,70.88,78.98,0.0,0.0,64.04,72.32,82.94,0.0,0.0,64.04,74.48,86.0,0.0,0.0,66.92,76.64,84.91999999999999,0.0,3.0,64.04,72.68,82.04,0.0,0.0,68.0,71.78,78.98,0.0,94.0,62.959999999999994,68.18,75.02,0.0,0.0,62.059999999999995,70.88,82.94,64.04,73.75999999999999,82.04,64.94,73.4,80.96,59.0,69.44,78.08,66.92,74.3,82.94
2023.0,8.0,9.0,62.959999999999994,74.12,84.02,0.0,0.0,64.04,75.74000000000001,87.98,0.0,0.0,64.04,71.78,75.02,0.0,53.0,60.98,69.98,77.0,0.0,20.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,0.0,0.0,62.959999999999994,70.88,78.98,0.0,0.0,64.04,72.32,82.94,0.0,0.0,64.04,74.48,86.0,0.0,0.0,66.92,76.64,84.91999999999999,0.0,3.0,64.04,72.68,82.04,0.0,0.0,68.0,71.78,78.98,0.0,94.0,62.959999999999994,68.18,75.02,0.0,0.0,62.059999999999995,70.88,82.94,0.0,0.0,64.04,73.75999999999999,82.04,64.94,73.4,80.96,59.0,69.44,78.08,66.92,74.3,82.94,62.959999999999994,72.5,82.94
2023.0,8.0,10.0,64.04,75.74000000000001,87.98,0.0,0.0,64.04,71.78,75.02,0.0,53.0,60.98,69.98,77.0,0.0,20.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,0.0,0.0,62.959999999999994,70.88,78.98,0.0,0.0,64.04,72.32,82.94,0.0,0.0,64.04,74.48,86.0,0.0,0.0,66.92,76.64,84.91999999999999,0.0,3.0,64.04,72.68,82.04,0.0,0.0,68.0,71.78,78.98,0.0,94.0,62.959999999999994,68.18,75.02,0.0,0.0,62.059999999999995,70.88,82.94,0.0,0.0,64.04,73.75999999999999,82.04,0.0,86.0,64.94,73.4,80.96,59.0,69.44,78.08,66.92,74.3,82.94,62.959999999999994,72.5,82.94,64.04,71.96,77.0
2023.0,8.0,11.0,64.04,71.78,75.02,0.0,53.0,60.98,69.98,77.0,0.0,20.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,0.0,0.0,62.959999999999994,70.88,78.98,0.0,0.0,64.04,72.32,82.94,0.0,0.0,64.04,74.48,86.0,0.0,0.0,66.92,76.64,84.91999999999999,0.0,3.0,64.04,72.68,82.04,0.0,0.0,68.0,71.78,78.98,0.0,94.0,62.959999999999994,68.18,75.02,0.0,0.0,62.059999999999995,70.88,82.94,0.0,0.0,64.04,73.75999999999999,82.04,0.0,86.0,64.94,73.4,80.96,0.0,51.0,59.0,69.44,78.08,66.92,74.3,82.94,62.959999999999994,72.5,82.94,64.04,71.96,77.0,62.059999999999995,66.2,71.96
2023.0,8.0,12.0,60.98,69.98,77.0,0.0,20.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,0.0,0.0,62.959999999999994,70.88,78.98,0.0,0.0,64.04,72.32,82.94,0.0,0.0,64.04,74.48,86.0,0.0,0.0,66.92,76.64,84.91999999999999,0.0,3.0,64.04,72.68,82.04,0.0,0.0,68.0,71.78,78.98,0.0,94.0,62.959999999999994,68.18,75.02,0.0,0.0,62.059999999999995,70.88,82.94,0.0,0.0,64.04,73.75999999999999,82.04,0.0,86.0,64.94,73.4,80.96,0.0,51.0,59.0,69.44,78.08,0.0,94.0,66.92,74.3,82.94,62.959999999999994,72.5,82.94,64.04,71.96,77.0,62.059999999999995,66.2,71.96,59.0,68.36,80.06
2023.0,8.0,13.0,62.959999999999994,71.78,82.04,0.0,15.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,0.0,0.0,62.959999999999994,70.88,78.98,0.0,0.0,64.04,72.32,82.94,0.0,0.0,64.04,74.48,86.0,0.0,0.0,66.92,76.64,84.91999999999999,0.0,3.0,64.04,72.68,82.04,0.0,0.0,68.0,71.78,78.98,0.0,94.0,62.959999999999994,68.18,75.02,0.0,0.0,62.059999999999995,70.88,82.94,0.0,0.0,64.04,73.75999999999999,82.04,0.0,86.0,64.94,73.4,80.96,0.0,51.0,59.0,69.44,78.08,0.0,94.0,66.92,74.3,82.94,0.0,0.0,62.959999999999994,72.5,82.94,64.04,71.96,77.0,62.059999999999995,66.2,71.96,59.0,68.36,80.06,60.98,68.36,75.92
2023.0,8.0,14.0,66.02,70.88,73.04,0.0,127.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,0.0,0.0,62.959999999999994,70.88,78.98,0.0,0.0,64.04,72.32,82.94,0.0,0.0,64.04,74.48,86.0,0.0,0.0,66.92,76.64,84.91999999999999,0.0,3.0,64.04,72.68,82.04,0.0,0.0,68.0,71.78,78.98,0.0,94.0,62.959999999999994,68.18,75.02,0.0,0.0,62.059999999999995,70.88,82.94,0.0,0.0,64.04,73.75999999999999,82.04,0.0,86.0,64.94,73.4,80.96,0.0,51.0,59.0,69.44,78.08,0.0,94.0,66.92,74.3,82.94,0.0,0.0,62.959999999999994,72.5,82.94,0.0,0.0,64.04,71.96,77.0,62.059999999999995,66.2,71.96,59.0,68.36,80.06,60.98,68.36,75.92,55.94,65.3,73.94
2023.0,8.0,15.0,64.04,72.14,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,0.0,59.0,69.62,78.98,0.0,0.0,62.959999999999994,72.86,82.04,0.0,0.0,66.02,74.66,87.98,0.0,277.0,64.04,71.96,80.96,0.0,0.0,62.959999999999994,73.22,82.04,0.0,0.0,62.959999999999994,71.06,82.04,0.0,5.0,62.959999999999994,72.86,82.04,0.0,13.0,66.02,75.02,86.0,0.0,0.0,66.02,74.66,84.02,0.0,262.0,69.98,74.66,84.02,0.0,0.0,69.98,77.9,87.98,0.0,0.0,69.98,77.36,80.96,0.0,30.0,64.04,72.32,80.96,0.0,0.0,59.0,69.44,77.0,0.0,0.0,62.959999999999994,70.88,78.98,0.0,0.0,64.04,72.32,82.94,0.0,0.0,64.04,74.48,86.0,0.0,0.0,66.92,76.64,84.91999999999999,0.0,3.0,64.04,72.68,82.04,0.0,0.0,68.0,71.78,78.98,0.0,94.0,62.959999999999994,68.18,75.02,0.0,0.0,62.059999999999995,70.88,82.94,0.0,0.0,64.04,73.75999999999999,82.04,0.0,86.0,64.94,73.4,80.96,0.0,51.0,59.0,69.44,78.08,0.0,94.0,66.92,74.3,82.94,0.0,0.0,62.959999999999994,72.5,82.94,0.0,0.0,64.04,71.96,77.0,0.0,203.0,62.059999999999995,66.2,71.96,59.0,68.36,80.06,60.98,68.36,75.92,55.94,65.3,73.94,53.96,65.48,75.92
