0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
2018.0,12.0,30.0,71.96,78.44,82.94,0.0,30.0,69.08,74.48,82.94,0.0,0.0,69.08,74.66,82.94,0.0,0.0,69.08,75.56,82.94,0.0,0.0,71.96,77.36,84.02,0.0,0.0,71.06,77.18,84.02,0.0,0.0,69.08,75.92,82.94,0.0,3.0,71.06,75.74000000000001,82.04,0.0,36.0,71.06,74.3,78.08,0.0,13.0,71.06,74.66,80.96,0.0,3.0,69.98,75.02,80.06,0.0,13.0,71.06,74.48,80.96,0.0,3.0,73.04,77.18,82.04,0.0,0.0,73.04,76.46,82.04,0.0,0.0,73.04,76.82,82.04,0.0,0.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,75.02,78.98,86.0,71.96,78.08,84.02,73.94,78.44,84.91999999999999,73.04,78.08,84.02
2018.0,12.0,31.0,69.08,74.48,82.94,0.0,0.0,69.08,74.66,82.94,0.0,0.0,69.08,75.56,82.94,0.0,0.0,71.96,77.36,84.02,0.0,0.0,71.06,77.18,84.02,0.0,0.0,69.08,75.92,82.94,0.0,3.0,71.06,75.74000000000001,82.04,0.0,36.0,71.06,74.3,78.08,0.0,13.0,71.06,74.66,80.96,0.0,3.0,69.98,75.02,80.06,0.0,13.0,71.06,74.48,80.96,0.0,3.0,73.04,77.18,82.04,0.0,0.0,73.04,76.46,82.04,0.0,0.0,73.04,76.82,82.04,0.0,0.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,71.96,78.08,84.02,73.94,78.44,84.91999999999999,73.04,78.08,84.02,75.02,77.9,82.94
2019.0,1.0,1.0,69.08,74.66,82.94,0.0,0.0,69.08,75.56,82.94,0.0,0.0,71.96,77.36,84.02,0.0,0.0,71.06,77.18,84.02,0.0,0.0,69.08,75.92,82.94,0.0,3.0,71.06,75.74000000000001,82.04,0.0,36.0,71.06,74.3,78.08,0.0,13.0,71.06,74.66,80.96,0.0,3.0,69.98,75.02,80.06,0.0,13.0,71.06,74.48,80.96,0.0,3.0,73.04,77.18,82.04,0.0,0.0,73.04,76.46,82.04,0.0,0.0,73.04,76.82,82.04,0.0,0.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,73.94,78.44,84.91999999999999,73.04,78.08,84.02,75.02,77.9,82.94,69.08,77.54,82.04
2019.0,1.0,2.0,69.08,75.56,82.94,0.0,0.0,71.96,77.36,84.02,0.0,0.0,71.06,77.18,84.02,0.0,0.0,69.08,75.92,82.94,0.0,3.0,71.06,75.74000000000001,82.04,0.0,36.0,71.06,74.3,78.08,0.0,13.0,71.06,74.66,80.96,0.0,3.0,69.98,75.02,80.06,0.0,13.0,71.06,74.48,80.96,0.0,3.0,73.04,77.18,82.04,0.0,0.0,73.04,76.46,82.04,0.0,0.0,73.04,76.82,82.04,0.0,0.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,73.04,78.08,84.02,75.02,77.9,82.94,69.08,77.54,82.04,64.94,74.12,84.91999999999999
2019.0,1.0,3.0,71.96,77.36,84.02,0.0,0.0,71.06,77.18,84.02,0.0,0.0,69.08,75.92,82.94,0.0,3.0,71.06,75.74000000000001,82.04,0.0,36.0,71.06,74.3,78.08,0.0,13.0,71.06,74.66,80.96,0.0,3.0,69.98,75.02,80.06,0.0,13.0,71.06,74.48,80.96,0.0,3.0,73.04,77.18,82.04,0.0,0.0,73.04,76.46,82.04,0.0,0.0,73.04,76.82,82.04,0.0,0.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,0.0,0.0,73.04,78.08,84.02,75.02,77.9,82.94,69.08,77.54,82.04,64.94,74.12,84.91999999999999,64.94,74.3,84.02
2019.0,1.0,4.0,71.06,77.18,84.02,0.0,0.0,69.08,75.92,82.94,0.0,3.0,71.06,75.74000000000001,82.04,0.0,36.0,71.06,74.3,78.08,0.0,13.0,71.06,74.66,80.96,0.0,3.0,69.98,75.02,80.06,0.0,13.0,71.06,74.48,80.96,0.0,3.0,73.04,77.18,82.04,0.0,0.0,73.04,76.46,82.04,0.0,0.0,73.04,76.82,82.04,0.0,0.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,0.0,0.0,73.04,78.08,84.02,0.0,0.0,75.02,77.9,82.94,69.08,77.54,82.04,64.94,74.12,84.91999999999999,64.94,74.3,84.02,69.08,76.1,82.94
2019.0,1.0,5.0,69.08,75.92,82.94,0.0,3.0,71.06,75.74000000000001,82.04,0.0,36.0,71.06,74.3,78.08,0.0,13.0,71.06,74.66,80.96,0.0,3.0,69.98,75.02,80.06,0.0,13.0,71.06,74.48,80.96,0.0,3.0,73.04,77.18,82.04,0.0,0.0,73.04,76.46,82.04,0.0,0.0,73.04,76.82,82.04,0.0,0.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,0.0,0.0,73.04,78.08,84.02,0.0,0.0,75.02,77.9,82.94,0.0,0.0,69.08,77.54,82.04,64.94,74.12,84.91999999999999,64.94,74.3,84.02,69.08,76.1,82.94,68.0,75.2,80.96
2019.0,1.0,6.0,71.06,75.74000000000001,82.04,0.0,36.0,71.06,74.3,78.08,0.0,13.0,71.06,74.66,80.96,0.0,3.0,69.98,75.02,80.06,0.0,13.0,71.06,74.48,80.96,0.0,3.0,73.04,77.18,82.04,0.0,0.0,73.04,76.46,82.04,0.0,0.0,73.04,76.82,82.04,0.0,0.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,0.0,0.0,73.04,78.08,84.02,0.0,0.0,75.02,77.9,82.94,0.0,0.0,69.08,77.54,82.04,0.0,0.0,64.94,74.12,84.91999999999999,64.94,74.3,84.02,69.08,76.1,82.94,68.0,75.2,80.96,66.92,74.48,82.04
2019.0,1.0,7.0,71.06,74.3,78.08,0.0,13.0,71.06,74.66,80.96,0.0,3.0,69.98,75.02,80.06,0.0,13.0,71.06,74.48,80.96,0.0,3.0,73.04,77.18,82.04,0.0,0.0,73.04,76.46,82.04,0.0,0.0,73.04,76.82,82.04,0.0,0.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,0.0,0.0,73.04,78.08,84.02,0.0,0.0,75.02,77.9,82.94,0.0,0.0,69.08,77.54,82.04,0.0,0.0,64.94,74.12,84.91999999999999,0.0,0.0,64.94,74.3,84.02,69.08,76.1,82.94,68.0,75.2,80.96,66.92,74.48,82.04,69.98,75.56,82.94
2019.0,1.0,8.0,71.06,74.66,80.96,0.0,3.0,69.98,75.02,80.06,0.0,13.0,71.06,74.48,80.96,0.0,3.0,73.04,77.18,82.04,0.0,0.0,73.04,76.46,82.04,0.0,0.0,73.04,76.82,82.04,0.0,0.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,0.0,0.0,73.04,78.08,84.02,0.0,0.0,75.02,77.9,82.94,0.0,0.0,69.08,77.54,82.04,0.0,0.0,64.94,74.12,84.91999999999999,0.0,0.0,64.94,74.3,84.02,0.0,0.0,69.08,76.1,82.94,68.0,75.2,80.96,66.92,74.48,82.04,69.98,75.56,82.94,66.02,74.48,84.02
2019.0,1.0,9.0,69.98,75.02,80.06,0.0,13.0,71.06,74.48,80.96,0.0,3.0,73.04,77.18,82.04,0.0,0.0,73.04,76.46,82.04,0.0,0.0,73.04,76.82,82.04,0.0,0.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,0.0,0.0,73.04,78.08,84.02,0.0,0.0,75.02,77.9,82.94,0.0,0.0,69.08,77.54,82.04,0.0,0.0,64.94,74.12,84.91999999999999,0.0,0.0,64.94,74.3,84.02,0.0,0.0,69.08,76.1,82.94,0.0,0.0,68.0,75.2,80.96,66.92,74.48,82.04,69.98,75.56,82.94,66.02,74.48,84.02,69.08,77.18,82.94
2019.0,1.0,10.0,71.06,74.48,80.96,0.0,3.0,73.04,77.18,82.04,0.0,0.0,73.04,76.46,82.04,0.0,0.0,73.04,76.82,82.04,0.0,0.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,0.0,0.0,73.04,78.08,84.02,0.0,0.0,75.02,77.9,82.94,0.0,0.0,69.08,77.54,82.04,0.0,0.0,64.94,74.12,84.91999999999999,0.0,0.0,64.94,74.3,84.02,0.0,0.0,69.08,76.1,82.94,0.0,0.0,68.0,75.2,80.96,0.0,3.0,66.92,74.48,82.04,69.98,75.56,82.94,66.02,74.48,84.02,69.08,77.18,82.94,66.02,73.94,82.94
2019.0,1.0,11.0,73.04,77.18,82.04,0.0,0.0,73.04,76.46,82.04,0.0,0.0,73.04,76.82,82.04,0.0,0.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,0.0,0.0,73.04,78.08,84.02,0.0,0.0,75.02,77.9,82.94,0.0,0.0,69.08,77.54,82.04,0.0,0.0,64.94,74.12,84.91999999999999,0.0,0.0,64.94,74.3,84.02,0.0,0.0,69.08,76.1,82.94,0.0,0.0,68.0,75.2,80.96,0.0,3.0,66.92,74.48,82.04,0.0,0.0,69.98,75.56,82.94,66.02,74.48,84.02,69.08,77.18,82.94,66.02,73.94,82.94,64.94,74.48,82.94
2019.0,1.0,12.0,73.04,76.46,82.04,0.0,0.0,73.04,76.82,82.04,0.0,0.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,0.0,0.0,73.04,78.08,84.02,0.0,0.0,75.02,77.9,82.94,0.0,0.0,69.08,77.54,82.04,0.0,0.0,64.94,74.12,84.91999999999999,0.0,0.0,64.94,74.3,84.02,0.0,0.0,69.08,76.1,82.94,0.0,0.0,68.0,75.2,80.96,0.0,3.0,66.92,74.48,82.04,0.0,0.0,69.98,75.56,82.94,0.0,0.0,66.02,74.48,84.02,69.08,77.18,82.94,66.02,73.94,82.94,64.94,74.48,82.94,66.02,74.84,84.02
2019.0,1.0,13.0,73.04,76.82,82.04,0.0,0.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,0.0,0.0,73.04,78.08,84.02,0.0,0.0,75.02,77.9,82.94,0.0,0.0,69.08,77.54,82.04,0.0,0.0,64.94,74.12,84.91999999999999,0.0,0.0,64.94,74.3,84.02,0.0,0.0,69.08,76.1,82.94,0.0,0.0,68.0,75.2,80.96,0.0,3.0,66.92,74.48,82.04,0.0,0.0,69.98,75.56,82.94,0.0,0.0,66.02,74.48,84.02,0.0,0.0,69.08,77.18,82.94,66.02,73.94,82.94,64.94,74.48,82.94,66.02,74.84,84.02,71.06,79.16,84.91999999999999
2019.0,1.0,14.0,71.96,76.46,82.94,0.0,0.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,0.0,0.0,73.04,78.08,84.02,0.0,0.0,75.02,77.9,82.94,0.0,0.0,69.08,77.54,82.04,0.0,0.0,64.94,74.12,84.91999999999999,0.0,0.0,64.94,74.3,84.02,0.0,0.0,69.08,76.1,82.94,0.0,0.0,68.0,75.2,80.96,0.0,3.0,66.92,74.48,82.04,0.0,0.0,69.98,75.56,82.94,0.0,0.0,66.02,74.48,84.02,0.0,0.0,69.08,77.18,82.94,0.0,3.0,66.02,73.94,82.94,64.94,74.48,82.94,66.02,74.84,84.02,71.06,79.16,84.91999999999999,69.08,74.84,80.96
2019.0,1.0,15.0,71.96,76.46,82.04,0.0,0.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,0.0,0.0,73.04,78.08,84.02,0.0,0.0,75.02,77.9,82.94,0.0,0.0,69.08,77.54,82.04,0.0,0.0,64.94,74.12,84.91999999999999,0.0,0.0,64.94,74.3,84.02,0.0,0.0,69.08,76.1,82.94,0.0,0.0,68.0,75.2,80.96,0.0,3.0,66.92,74.48,82.04,0.0,0.0,69.98,75.56,82.94,0.0,0.0,66.02,74.48,84.02,0.0,0.0,69.08,77.18,82.94,0.0,3.0,66.02,73.94,82.94,0.0,0.0,64.94,74.48,82.94,66.02,74.84,84.02,71.06,79.16,84.91999999999999,69.08,74.84,80.96,68.0,75.38,82.94
2019.0,1.0,16.0,68.0,75.2,82.94,0.0,0.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,0.0,0.0,73.04,78.08,84.02,0.0,0.0,75.02,77.9,82.94,0.0,0.0,69.08,77.54,82.04,0.0,0.0,64.94,74.12,84.91999999999999,0.0,0.0,64.94,74.3,84.02,0.0,0.0,69.08,76.1,82.94,0.0,0.0,68.0,75.2,80.96,0.0,3.0,66.92,74.48,82.04,0.0,0.0,69.98,75.56,82.94,0.0,0.0,66.02,74.48,84.02,0.0,0.0,69.08,77.18,82.94,0.0,3.0,66.02,73.94,82.94,0.0,0.0,64.94,74.48,82.94,0.0,0.0,66.02,74.84,84.02,71.06,79.16,84.91999999999999,69.08,74.84,80.96,68.0,75.38,82.94,68.0,75.56,84.02
2019.0,1.0,17.0,64.94,72.86,80.96,0.0,5.0,69.08,72.86,78.98,0.0,0.0,68.0,73.04,80.96,0.0,0.0,66.02,73.58,80.96,0.0,0.0,69.98,75.74000000000001,84.02,0.0,8.0,73.04,76.82,84.02,0.0,3.0,71.96,76.46,82.04,0.0,8.0,73.04,76.46,82.04,0.0,3.0,68.0,75.56,84.91999999999999,0.0,0.0,71.96,77.9,84.02,0.0,0.0,71.06,77.54,78.98,0.0,56.0,73.94,76.1,84.91999999999999,0.0,3.0,75.92,80.06,84.91999999999999,0.0,0.0,75.02,78.98,86.0,0.0,0.0,71.96,78.08,84.02,0.0,0.0,73.94,78.44,84.91999999999999,0.0,0.0,73.04,78.08,84.02,0.0,0.0,75.02,77.9,82.94,0.0,0.0,69.08,77.54,82.04,0.0,0.0,64.94,74.12,84.91999999999999,0.0,0.0,64.94,74.3,84.02,0.0,0.0,69.08,76.1,82.94,0.0,0.0,68.0,75.2,80.96,0.0,3.0,66.92,74.48,82.04,0.0,0.0,69.98,75.56,82.94,0.0,0.0,66.02,74.48,84.02,0.0,0.0,69.08,77.18,82.94,0.0,3.0,66.02,73.94,82.94,0.0,0.0,64.94,74.48,82.94,0.0,0.0,66.02,74.84,84.02,0.0,0.0,71.06,79.16,84.91999999999999,69.08,74.84,80.96,68.0,75.38,82.94,68.0,75.56,84.02,68.0,75.56,84.02
