0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167
2023.0,8.0,16.0,80.96,92.3,105.08,0.0,0.0,78.08,87.98,98.06,0.0,0.0,69.08,83.12,96.08,0.0,5.0,68.0,78.08,93.02,0.0,0.0,73.04,85.82,102.02,0.0,0.0,75.02,89.78,105.98,0.0,0.0,82.04,91.94,104.0,0.0,0.0,73.04,91.22,100.04,0.0,8.0,69.08,82.58,96.98,0.0,0.0,75.92,87.44,98.06,0.0,0.0,78.08,87.26,102.02,0.0,0.0,71.06,86.18,102.02,0.0,0.0,73.04,89.06,102.92,0.0,0.0,78.98,90.32,102.02,0.0,0.0,78.98,89.06,96.98,0.0,0.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,73.94,84.91999999999999,98.06,75.02,81.14,93.92,62.059999999999995,80.24000000000001,89.06,66.92,75.56,82.94
2023.0,8.0,17.0,78.08,87.98,98.06,0.0,0.0,69.08,83.12,96.08,0.0,5.0,68.0,78.08,93.02,0.0,0.0,73.04,85.82,102.02,0.0,0.0,75.02,89.78,105.98,0.0,0.0,82.04,91.94,104.0,0.0,0.0,73.04,91.22,100.04,0.0,8.0,69.08,82.58,96.98,0.0,0.0,75.92,87.44,98.06,0.0,0.0,78.08,87.26,102.02,0.0,0.0,71.06,86.18,102.02,0.0,0.0,73.04,89.06,102.92,0.0,0.0,78.98,90.32,102.02,0.0,0.0,78.98,89.06,96.98,0.0,0.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,75.02,81.14,93.92,62.059999999999995,80.24000000000001,89.06,66.92,75.56,82.94,69.98,76.1,87.08000000000001
2023.0,8.0,18.0,69.08,83.12,96.08,0.0,5.0,68.0,78.08,93.02,0.0,0.0,73.04,85.82,102.02,0.0,0.0,75.02,89.78,105.98,0.0,0.0,82.04,91.94,104.0,0.0,0.0,73.04,91.22,100.04,0.0,8.0,69.08,82.58,96.98,0.0,0.0,75.92,87.44,98.06,0.0,0.0,78.08,87.26,102.02,0.0,0.0,71.06,86.18,102.02,0.0,0.0,73.04,89.06,102.92,0.0,0.0,78.98,90.32,102.02,0.0,0.0,78.98,89.06,96.98,0.0,0.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,62.059999999999995,80.24000000000001,89.06,66.92,75.56,82.94,69.98,76.1,87.08000000000001,64.94,72.5,75.02
2023.0,8.0,19.0,68.0,78.08,93.02,0.0,0.0,73.04,85.82,102.02,0.0,0.0,75.02,89.78,105.98,0.0,0.0,82.04,91.94,104.0,0.0,0.0,73.04,91.22,100.04,0.0,8.0,69.08,82.58,96.98,0.0,0.0,75.92,87.44,98.06,0.0,0.0,78.08,87.26,102.02,0.0,0.0,71.06,86.18,102.02,0.0,0.0,73.04,89.06,102.92,0.0,0.0,78.98,90.32,102.02,0.0,0.0,78.98,89.06,96.98,0.0,0.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,66.92,75.56,82.94,69.98,76.1,87.08000000000001,64.94,72.5,75.02,64.94,72.68,87.98
2023.0,8.0,20.0,73.04,85.82,102.02,0.0,0.0,75.02,89.78,105.98,0.0,0.0,82.04,91.94,104.0,0.0,0.0,73.04,91.22,100.04,0.0,8.0,69.08,82.58,96.98,0.0,0.0,75.92,87.44,98.06,0.0,0.0,78.08,87.26,102.02,0.0,0.0,71.06,86.18,102.02,0.0,0.0,73.04,89.06,102.92,0.0,0.0,78.98,90.32,102.02,0.0,0.0,78.98,89.06,96.98,0.0,0.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,0.0,122.0,66.92,75.56,82.94,69.98,76.1,87.08000000000001,64.94,72.5,75.02,64.94,72.68,87.98,66.92,74.66,87.08000000000001
2023.0,8.0,21.0,75.02,89.78,105.98,0.0,0.0,82.04,91.94,104.0,0.0,0.0,73.04,91.22,100.04,0.0,8.0,69.08,82.58,96.98,0.0,0.0,75.92,87.44,98.06,0.0,0.0,78.08,87.26,102.02,0.0,0.0,71.06,86.18,102.02,0.0,0.0,73.04,89.06,102.92,0.0,0.0,78.98,90.32,102.02,0.0,0.0,78.98,89.06,96.98,0.0,0.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,0.0,122.0,66.92,75.56,82.94,0.0,0.0,69.98,76.1,87.08000000000001,64.94,72.5,75.02,64.94,72.68,87.98,66.92,74.66,87.08000000000001,68.0,78.44,93.02
2023.0,8.0,22.0,82.04,91.94,104.0,0.0,0.0,73.04,91.22,100.04,0.0,8.0,69.08,82.58,96.98,0.0,0.0,75.92,87.44,98.06,0.0,0.0,78.08,87.26,102.02,0.0,0.0,71.06,86.18,102.02,0.0,0.0,73.04,89.06,102.92,0.0,0.0,78.98,90.32,102.02,0.0,0.0,78.98,89.06,96.98,0.0,0.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,0.0,122.0,66.92,75.56,82.94,0.0,0.0,69.98,76.1,87.08000000000001,0.0,3.0,64.94,72.5,75.02,64.94,72.68,87.98,66.92,74.66,87.08000000000001,68.0,78.44,93.02,73.94,81.86,95.0
2023.0,8.0,23.0,73.04,91.22,100.04,0.0,8.0,69.08,82.58,96.98,0.0,0.0,75.92,87.44,98.06,0.0,0.0,78.08,87.26,102.02,0.0,0.0,71.06,86.18,102.02,0.0,0.0,73.04,89.06,102.92,0.0,0.0,78.98,90.32,102.02,0.0,0.0,78.98,89.06,96.98,0.0,0.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,0.0,122.0,66.92,75.56,82.94,0.0,0.0,69.98,76.1,87.08000000000001,0.0,3.0,64.94,72.5,75.02,0.0,38.0,64.94,72.68,87.98,66.92,74.66,87.08000000000001,68.0,78.44,93.02,73.94,81.86,95.0,71.06,82.04,93.02
2023.0,8.0,24.0,69.08,82.58,96.98,0.0,0.0,75.92,87.44,98.06,0.0,0.0,78.08,87.26,102.02,0.0,0.0,71.06,86.18,102.02,0.0,0.0,73.04,89.06,102.92,0.0,0.0,78.98,90.32,102.02,0.0,0.0,78.98,89.06,96.98,0.0,0.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,0.0,122.0,66.92,75.56,82.94,0.0,0.0,69.98,76.1,87.08000000000001,0.0,3.0,64.94,72.5,75.02,0.0,38.0,64.94,72.68,87.98,0.0,46.0,66.92,74.66,87.08000000000001,68.0,78.44,93.02,73.94,81.86,95.0,71.06,82.04,93.02,68.0,80.42,96.08
2023.0,8.0,25.0,75.92,87.44,98.06,0.0,0.0,78.08,87.26,102.02,0.0,0.0,71.06,86.18,102.02,0.0,0.0,73.04,89.06,102.92,0.0,0.0,78.98,90.32,102.02,0.0,0.0,78.98,89.06,96.98,0.0,0.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,0.0,122.0,66.92,75.56,82.94,0.0,0.0,69.98,76.1,87.08000000000001,0.0,3.0,64.94,72.5,75.02,0.0,38.0,64.94,72.68,87.98,0.0,46.0,66.92,74.66,87.08000000000001,0.0,0.0,68.0,78.44,93.02,73.94,81.86,95.0,71.06,82.04,93.02,68.0,80.42,96.08,69.08,82.75999999999999,100.04
2023.0,8.0,26.0,78.08,87.26,102.02,0.0,0.0,71.06,86.18,102.02,0.0,0.0,73.04,89.06,102.92,0.0,0.0,78.98,90.32,102.02,0.0,0.0,78.98,89.06,96.98,0.0,0.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,0.0,122.0,66.92,75.56,82.94,0.0,0.0,69.98,76.1,87.08000000000001,0.0,3.0,64.94,72.5,75.02,0.0,38.0,64.94,72.68,87.98,0.0,46.0,66.92,74.66,87.08000000000001,0.0,0.0,68.0,78.44,93.02,0.0,0.0,73.94,81.86,95.0,71.06,82.04,93.02,68.0,80.42,96.08,69.08,82.75999999999999,100.04,64.04,80.06,87.08000000000001
2023.0,8.0,27.0,71.06,86.18,102.02,0.0,0.0,73.04,89.06,102.92,0.0,0.0,78.98,90.32,102.02,0.0,0.0,78.98,89.06,96.98,0.0,0.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,0.0,122.0,66.92,75.56,82.94,0.0,0.0,69.98,76.1,87.08000000000001,0.0,3.0,64.94,72.5,75.02,0.0,38.0,64.94,72.68,87.98,0.0,46.0,66.92,74.66,87.08000000000001,0.0,0.0,68.0,78.44,93.02,0.0,0.0,73.94,81.86,95.0,0.0,0.0,71.06,82.04,93.02,68.0,80.42,96.08,69.08,82.75999999999999,100.04,64.04,80.06,87.08000000000001,60.08,74.3,95.0
2023.0,8.0,28.0,73.04,89.06,102.92,0.0,0.0,78.98,90.32,102.02,0.0,0.0,78.98,89.06,96.98,0.0,0.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,0.0,122.0,66.92,75.56,82.94,0.0,0.0,69.98,76.1,87.08000000000001,0.0,3.0,64.94,72.5,75.02,0.0,38.0,64.94,72.68,87.98,0.0,46.0,66.92,74.66,87.08000000000001,0.0,0.0,68.0,78.44,93.02,0.0,0.0,73.94,81.86,95.0,0.0,0.0,71.06,82.04,93.02,0.0,0.0,68.0,80.42,96.08,69.08,82.75999999999999,100.04,64.04,80.06,87.08000000000001,60.08,74.3,95.0,71.06,81.32,84.91999999999999
2023.0,8.0,29.0,78.98,90.32,102.02,0.0,0.0,78.98,89.06,96.98,0.0,0.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,0.0,122.0,66.92,75.56,82.94,0.0,0.0,69.98,76.1,87.08000000000001,0.0,3.0,64.94,72.5,75.02,0.0,38.0,64.94,72.68,87.98,0.0,46.0,66.92,74.66,87.08000000000001,0.0,0.0,68.0,78.44,93.02,0.0,0.0,73.94,81.86,95.0,0.0,0.0,71.06,82.04,93.02,0.0,0.0,68.0,80.42,96.08,0.0,0.0,69.08,82.75999999999999,100.04,64.04,80.06,87.08000000000001,60.08,74.3,95.0,71.06,81.32,84.91999999999999,66.92,74.12,84.91999999999999
2023.0,8.0,30.0,78.98,89.06,96.98,0.0,0.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,0.0,122.0,66.92,75.56,82.94,0.0,0.0,69.98,76.1,87.08000000000001,0.0,3.0,64.94,72.5,75.02,0.0,38.0,64.94,72.68,87.98,0.0,46.0,66.92,74.66,87.08000000000001,0.0,0.0,68.0,78.44,93.02,0.0,0.0,73.94,81.86,95.0,0.0,0.0,71.06,82.04,93.02,0.0,0.0,68.0,80.42,96.08,0.0,0.0,69.08,82.75999999999999,100.04,0.0,0.0,64.04,80.06,87.08000000000001,60.08,74.3,95.0,71.06,81.32,84.91999999999999,66.92,74.12,84.91999999999999,62.059999999999995,77.54,89.06
2023.0,8.0,31.0,69.98,84.2,91.04,0.0,0.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,0.0,122.0,66.92,75.56,82.94,0.0,0.0,69.98,76.1,87.08000000000001,0.0,3.0,64.94,72.5,75.02,0.0,38.0,64.94,72.68,87.98,0.0,46.0,66.92,74.66,87.08000000000001,0.0,0.0,68.0,78.44,93.02,0.0,0.0,73.94,81.86,95.0,0.0,0.0,71.06,82.04,93.02,0.0,0.0,68.0,80.42,96.08,0.0,0.0,69.08,82.75999999999999,100.04,0.0,0.0,64.04,80.06,87.08000000000001,0.0,0.0,60.08,74.3,95.0,71.06,81.32,84.91999999999999,66.92,74.12,84.91999999999999,62.059999999999995,77.54,89.06,55.94,64.04,71.06
2023.0,9.0,1.0,64.04,73.04,78.08,0.0,333.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,0.0,122.0,66.92,75.56,82.94,0.0,0.0,69.98,76.1,87.08000000000001,0.0,3.0,64.94,72.5,75.02,0.0,38.0,64.94,72.68,87.98,0.0,46.0,66.92,74.66,87.08000000000001,0.0,0.0,68.0,78.44,93.02,0.0,0.0,73.94,81.86,95.0,0.0,0.0,71.06,82.04,93.02,0.0,0.0,68.0,80.42,96.08,0.0,0.0,69.08,82.75999999999999,100.04,0.0,0.0,64.04,80.06,87.08000000000001,0.0,0.0,60.08,74.3,95.0,0.0,0.0,71.06,81.32,84.91999999999999,66.92,74.12,84.91999999999999,62.059999999999995,77.54,89.06,55.94,64.04,71.06,55.04,65.3,80.06
2023.0,9.0,2.0,62.059999999999995,70.34,82.94,0.0,84.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,0.0,122.0,66.92,75.56,82.94,0.0,0.0,69.98,76.1,87.08000000000001,0.0,3.0,64.94,72.5,75.02,0.0,38.0,64.94,72.68,87.98,0.0,46.0,66.92,74.66,87.08000000000001,0.0,0.0,68.0,78.44,93.02,0.0,0.0,73.94,81.86,95.0,0.0,0.0,71.06,82.04,93.02,0.0,0.0,68.0,80.42,96.08,0.0,0.0,69.08,82.75999999999999,100.04,0.0,0.0,64.04,80.06,87.08000000000001,0.0,0.0,60.08,74.3,95.0,0.0,0.0,71.06,81.32,84.91999999999999,0.0,0.0,66.92,74.12,84.91999999999999,62.059999999999995,77.54,89.06,55.94,64.04,71.06,55.04,65.3,80.06,57.92,69.25999999999999,87.08000000000001
2023.0,9.0,3.0,60.98,72.32,86.0,0.0,0.0,64.04,76.28,89.06,0.0,0.0,66.02,77.72,89.06,0.0,0.0,66.02,77.36,87.98,0.0,0.0,64.04,75.02,82.04,0.0,3.0,62.959999999999994,73.75999999999999,87.98,0.0,0.0,71.06,81.32,93.92,0.0,0.0,71.96,82.58,93.02,0.0,0.0,73.04,81.86,93.02,0.0,3.0,69.08,80.78,93.02,0.0,0.0,64.94,80.78,95.0,0.0,0.0,73.04,83.84,96.98,0.0,0.0,71.96,85.46000000000001,96.08,0.0,0.0,73.94,84.91999999999999,98.06,0.0,69.0,75.02,81.14,93.92,0.0,0.0,62.059999999999995,80.24000000000001,89.06,0.0,122.0,66.92,75.56,82.94,0.0,0.0,69.98,76.1,87.08000000000001,0.0,3.0,64.94,72.5,75.02,0.0,38.0,64.94,72.68,87.98,0.0,46.0,66.92,74.66,87.08000000000001,0.0,0.0,68.0,78.44,93.02,0.0,0.0,73.94,81.86,95.0,0.0,0.0,71.06,82.04,93.02,0.0,0.0,68.0,80.42,96.08,0.0,0.0,69.08,82.75999999999999,100.04,0.0,0.0,64.04,80.06,87.08000000000001,0.0,0.0,60.08,74.3,95.0,0.0,0.0,71.06,81.32,84.91999999999999,0.0,0.0,66.92,74.12,84.91999999999999,0.0,5.0,62.059999999999995,77.54,89.06,55.94,64.04,71.06,55.04,65.3,80.06,57.92,69.25999999999999,87.08000000000001,60.98,73.58,89.06
